Topic,Characteristic,Note,Total,
Major field of study - Classification of Instructional Programs (CIP) 2021,    49. Transportation and materials moving,,1975,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Other,179,115,
Major field of study - Classification of Instructional Programs (CIP) 2021,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 25 to 64 years in private households - 25% sample data,172,392425,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  No postsecondary certificate, diploma or degree",173,106500,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Education,,11560,
Major field of study - Classification of Instructional Programs (CIP) 2021,    13. Education,,11560,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Visual and performing arts, and communications technologies",,8915,
Major field of study - Classification of Instructional Programs (CIP) 2021,    10. Communications technologies/technicians and support services,,885,
Major field of study - Classification of Instructional Programs (CIP) 2021,    50. Visual and performing arts,,8035,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Humanities,,15740,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    16. Indigenous and foreign languages, literatures, and linguistics",,1635,
Major field of study - Classification of Instructional Programs (CIP) 2021,    23. English language and literature/letters,,3930,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    24. Liberal arts and sciences, general studies and humanities",,6355,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30A Interdisciplinary humanities,174,295,
Major field of study - Classification of Instructional Programs (CIP) 2021,    38. Philosophy and religious studies,,875,
Major field of study - Classification of Instructional Programs (CIP) 2021,    39. Theology and religious vocations,,600,
Major field of study - Classification of Instructional Programs (CIP) 2021,    54. History,,1580,
Major field of study - Classification of Instructional Programs (CIP) 2021,    55. French language and literature/lettersCAN,,475,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Social and behavioural sciences and law,,35395,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    05. Area, ethnic, cultural, gender, and group studies",,360,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    09. Communication, journalism and related programs",,4080,
Major field of study - Classification of Instructional Programs (CIP) 2021,    19. Family and consumer sciences/human sciences,,5075,
Major field of study - Classification of Instructional Programs (CIP) 2021,    22. Legal professions and studies,,5945,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30B Interdisciplinary social and behavioural sciences,175,690,
Major field of study - Classification of Instructional Programs (CIP) 2021,    42. Psychology,,4965,
Major field of study - Classification of Instructional Programs (CIP) 2021,    45. Social sciences,,14285,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Business, management and public administration",,77165,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.16 Accounting and computer science,,100,
Major field of study - Classification of Instructional Programs (CIP) 2021,    44. Public administration and social service professions,,3250,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    52. Business, management, marketing and related support services",,73815,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Physical and life sciences and technologies,,14800,
Major field of study - Classification of Instructional Programs (CIP) 2021,    26. Biological and biomedical sciences,,5935,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.01 Biological and physical sciences,,4130,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30C Other interdisciplinary physical and life sciences,176,395,
Major field of study - Classification of Instructional Programs (CIP) 2021,    40. Physical sciences,,3820,
Major field of study - Classification of Instructional Programs (CIP) 2021,    41. Science technologies/technicians,,520,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Mathematics, computer and information sciences",,23755,
Major field of study - Classification of Instructional Programs (CIP) 2021,    11. Computer and information sciences and support services,,19785,
Major field of study - Classification of Instructional Programs (CIP) 2021,    25. Library science,,365,
Major field of study - Classification of Instructional Programs (CIP) 2021,    27. Mathematics and statistics,,2945,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    30D Interdisciplinary mathematics, computer and information sciences",177,665,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Architecture, engineering, and related trades",,52980,
Major field of study - Classification of Instructional Programs (CIP) 2021,    04. Architecture and related services,,2735,
Major field of study - Classification of Instructional Programs (CIP) 2021,    14. Engineering,,28390,
Major field of study - Classification of Instructional Programs (CIP) 2021,    15. Engineering/engineering-related technologies/technicians,,9660,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.12 Historic preservation and conservation,,15,
Major field of study - Classification of Instructional Programs (CIP) 2021,    46. Construction trades,,4845,
Major field of study - Classification of Instructional Programs (CIP) 2021,    47. Mechanic and repair technologies/technicians,,4905,
Major field of study - Classification of Instructional Programs (CIP) 2021,    48. Precision production,,2430,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Agriculture, natural resources and conservation",,3300,
Major field of study - Classification of Instructional Programs (CIP) 2021,    01. Agricultural and veterinary sciences/services/operations and related fields,178,2120,
Major field of study - Classification of Instructional Programs (CIP) 2021,    03. Natural resources and conservation,,1180,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Health and related fields,,32480,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.37 Design for human health,,0,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    31. Parks, recreation, leisure, fitness, and kinesiology",,2185,
Major field of study - Classification of Instructional Programs (CIP) 2021,    51. Health professions and related programs,178,29165,
Major field of study - Classification of Instructional Programs (CIP) 2021,    60. Health professions residency/fellowship programs,,80,
Major field of study - Classification of Instructional Programs (CIP) 2021,    61. Medical residency/fellowship programs,,1040,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Personal, protective and transportation services",,9740,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    12. Culinary, entertainment, and personal services",,5475,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    28. Military science, leadership and operational art",,20,
Major field of study - Classification of Instructional Programs (CIP) 2021,    29. Military technologies and applied sciences,,35,
Major field of study - Classification of Instructional Programs (CIP) 2021,    43. Security and protective services,,2810,
Major field of study - Classification of Instructional Programs (CIP) 2021,    49. Transportation and materials moving,,1395,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Other,179,85,
Location of study compared with province or territory of residence,Total - Location of study compared with province or territory of residence for the population aged 25 to 64 years in private households - 25% sample data,180,392425,
Location of study compared with province or territory of residence,"  No postsecondary certificate, diploma or degree",,106500,
Location of study compared with province or territory of residence,"  Postsecondary certificate, diploma or degree",181,285925,
Location of study compared with province or territory of residence,    Location of study inside Canada,,165130,
Location of study compared with province or territory of residence,      Same as province or territory of residence,,154900,
Location of study compared with province or territory of residence,      Different than province or territory of residence,,10235,
Location of study compared with province or territory of residence,    Location of study outside Canada,182,120795,
Location of study compared with province or territory of residence,      Americas,,14140,
Location of study compared with province or territory of residence,        United States of America,,7865,
Location of study compared with province or territory of residence,        Mexico,,725,
Location of study compared with province or territory of residence,        Cuba,,335,
Location of study compared with province or territory of residence,        Haiti,,10,
Location of study compared with province or territory of residence,        Jamaica,,705,
Location of study compared with province or territory of residence,        Brazil,,715,
Location of study compared with province or territory of residence,        Colombia,,1285,
Location of study compared with province or territory of residence,        Peru,,305,
Location of study compared with province or territory of residence,        Venezuela,95,430,
Location of study compared with province or territory of residence,        Other locations of study in Americas,,1760,
Location of study compared with province or territory of residence,      Europe,,19045,
Location of study compared with province or territory of residence,        Belgium,,100,
Location of study compared with province or territory of residence,        France,,445,
Location of study compared with province or territory of residence,        Germany,,310,
Location of study compared with province or territory of residence,        Netherlands,,160,
Location of study compared with province or territory of residence,        Switzerland,,130,
Location of study compared with province or territory of residence,        Hungary,,140,
Location of study compared with province or territory of residence,        Moldova,183,140,
Location of study compared with province or territory of residence,        Poland,,4260,
Location of study compared with province or territory of residence,        Romania,,1195,
Location of study compared with province or territory of residence,        Russian Federation,,945,
Location of study compared with province or territory of residence,        Ukraine,,2345,
Location of study compared with province or territory of residence,        Ireland,96,300,
Location of study compared with province or territory of residence,        United Kingdom,87,4830,
Location of study compared with province or territory of residence,        Bosnia and Herzegovina,,350,
Location of study compared with province or territory of residence,        Italy,,160,
Location of study compared with province or territory of residence,        Serbia,86,510,
Location of study compared with province or territory of residence,        Other locations of study in Europe,,2710,
Location of study compared with province or territory of residence,      Africa,,7200,
Location of study compared with province or territory of residence,        Nigeria,,1080,
Location of study compared with province or territory of residence,        Algeria,,135,
Location of study compared with province or territory of residence,        Morocco,,135,
Location of study compared with province or territory of residence,        Tunisia,,60,
Location of study compared with province or territory of residence,        Egypt,,4010,
Location of study compared with province or territory of residence,"        South Africa, Republic of",,345,
Location of study compared with province or territory of residence,        Other locations of study in Africa,,1445,
Location of study compared with province or territory of residence,      Asia,,79475,
Location of study compared with province or territory of residence,        Iran,88,675,
Location of study compared with province or territory of residence,        Iraq,,2420,
Location of study compared with province or territory of residence,        Israel,,115,
Location of study compared with province or territory of residence,        Lebanon,,965,
Location of study compared with province or territory of residence,        Syria,89,1630,
Location of study compared with province or territory of residence,        Turkey,,345,
Location of study compared with province or territory of residence,        China,90,7260,
Location of study compared with province or territory of residence,        Taiwan,,290,
Location of study compared with province or territory of residence,        Hong Kong,91,585,
Location of study compared with province or territory of residence,        Japan,,385,
Location of study compared with province or territory of residence,"        Korea, South",92,1295,
Location of study compared with province or territory of residence,        Philippines,,10950,
Location of study compared with province or territory of residence,        Viet Nam,,635,
Location of study compared with province or territory of residence,        Bangladesh,,1020,
Location of study compared with province or territory of residence,        Sri Lanka,,1070,
Location of study compared with province or territory of residence,        India,,33070,
Location of study compared with province or territory of residence,        Pakistan,,12165,
Location of study compared with province or territory of residence,        Other locations of study in Asia,,4600,
Location of study compared with province or territory of residence,      Oceania,,930,
Location of study compared with province or territory of residence,        Australia,,825,
Location of study compared with province or territory of residence,        New Zealand,,85,
Location of study compared with province or territory of residence,        Other locations of study in Oceania,,25,
Labour force status,Total - Population aged 15 years and over by labour force status - 25% sample data,184,603595,
Labour force status,  In the labour force,,385915,
Labour force status,    Employed,,332000,
Labour force status,    Unemployed,,53920,
Labour force status,  Not in the labour force,,217670,
Labour force status,Participation rate,,63.9,
Labour force status,Employment rate,,55,
Labour force status,Unemployment rate,,14,
Work activity during the reference year,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,185,603595,
Work activity during the reference year,  Did not work,186,228605,
Work activity during the reference year,  Worked,,374990,
Work activity during the reference year,    Worked full year full time,187,206735,
Work activity during the reference year,    Worked part year and/or part time,188,168250,
Work activity during the reference year,    Average weeks worked in reference year,,40.4,
Class of worker including job permanency,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,189,385915,
Class of worker including job permanency,  Class of worker - not applicable,190,14625,
Class of worker including job permanency,  All classes of workers,191,371295,
Class of worker including job permanency,    Employee,,315540,
Class of worker including job permanency,      Permanent position,,265785,
Class of worker including job permanency,      Temporary position,,49760,
Class of worker including job permanency,        Fixed term (1 year or more),,17885,
Class of worker including job permanency,"        Casual, seasonal or short-term position (less than 1 year)",,31870,
Class of worker including job permanency,    Self-employed,192,55755,
Occupation - Broad category - National Occupational Classification (NOC) 2021,Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,193,385915,
Occupation - Broad category - National Occupational Classification (NOC) 2021,  Occupation - not applicable,190,14625,
Occupation - Broad category - National Occupational Classification (NOC) 2021,  All occupations,191,371295,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    0 Legislative and senior management occupations,,4955,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    1 Business, finance and administration occupations",,82165,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    2 Natural and applied sciences and related occupations,,48950,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    3 Health occupations,,23720,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    4 Occupations in education, law and social, community and government services",,34620,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    5 Occupations in art, culture, recreation and sport",,9330,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    6 Sales and service occupations,,90300,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    7 Trades, transport and equipment operators and related occupations",,56875,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    8 Natural resources, agriculture and related production occupations",,2295,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    9 Occupations in manufacturing and utilities,,18080,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,194,385915,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  Industry - not applicable,190,14625,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  All industries,191,371295,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    11 Agriculture, forestry, fishing and hunting",,690,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    21 Mining, quarrying, and oil and gas extraction",,545,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    22 Utilities,,1805,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    23 Construction,,23065,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    31-33 Manufacturing,,34185,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    41 Wholesale trade,,19520,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    44-45 Retail trade,,42635,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    48-49 Transportation and warehousing,,28765,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    51 Information and cultural industries,,9985,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    52 Finance and insurance,,28545,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    53 Real estate and rental and leasing,,8800,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    54 Professional, scientific and technical services",,46330,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    55 Management of companies and enterprises,,2070,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    56 Administrative and support, waste management and remediation services",,17160,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    61 Educational services,,23330,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    62 Health care and social assistance,,36230,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    71 Arts, entertainment and recreation",,4520,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    72 Accommodation and food services,,17960,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    81 Other services (except public administration),,12585,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    91 Public administration,,12565,
All languages used at work,"Total - All languages used at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",195,407720,
All languages used at work,  English,,372730,
All languages used at work,  French,,625,
All languages used at work,  Non-official language,,4415,
All languages used at work,    Indigenous,39,0,
All languages used at work,    Non-Indigenous,,4415,
All languages used at work,  English and French,,5885,
All languages used at work,  English and non-official language(s),,23060,
All languages used at work,  French and non-official language(s),,10,
All languages used at work,"  English, French and non-official language(s)",,695,
All languages used at work,  Multiple non-official languages,,290,
Language used most often at work,"Total - Language used most often at work for the population aged 15 years and over who worked since January 1, 2020, in private households, 2021 Census - 25% sample data",196,407720,
Language used most often at work,  Single responses,,402080,
Language used most often at work,    Official languages,,393335,
Language used most often at work,      English,,391975,
Language used most often at work,      French,,1360,
Language used most often at work,    Non-official languages,,8750,
Language used most often at work,      Indigenous languages,39,0,
Language used most often at work,        Algonquian languages,,0,
Language used most often at work,          Blackfoot,,0,
Language used most often at work,          Cree-Innu languages,,0,
Language used most often at work,            Atikamekw,,0,
Language used most often at work,            Cree languages,,0,
Language used most often at work,              Ililimowin (Moose Cree),,0,
Language used most often at work,              Inu Ayimun (Southern East Cree),,0,
Language used most often at work,              Iyiyiw-Ayimiwin (Northern East Cree),,0,
Language used most often at work,              Nehinawewin (Swampy Cree),,0,
Language used most often at work,              Nehiyawewin (Plains Cree),,0,
Language used most often at work,              Nihithawiwin (Woods Cree),,0,
Language used most often at work,"              Cree, n.o.s.",,0,
Language used most often at work,            Innu (Montagnais),,0,
Language used most often at work,            Naskapi,,0,
Language used most often at work,          Eastern Algonquian languages,,0,
Language used most often at work,            Mi'kmaq,,0,
Language used most often at work,            Wolastoqewi (Malecite),,0,
Language used most often at work,          Ojibway-Potawatomi languages,,0,
Language used most often at work,            Anicinabemowin (Algonquin),,0,
Language used most often at work,            Oji-Cree,,0,
Language used most often at work,            Ojibway languages,,0,
Language used most often at work,              Anishinaabemowin (Chippewa),,0,
Language used most often at work,              Daawaamwin (Odawa),,0,
Language used most often at work,              Saulteau (Western Ojibway),,0,
Language used most often at work,"              Ojibway, n.o.s.",,0,
Language used most often at work,"          Algonquian languages, n.i.e.",,0,
Language used most often at work,        Athabaskan languages,,0,
Language used most often at work,          Northern Athabaskan languages,,0,
Language used most often at work,            Dakelh (Carrier),,0,
Language used most often at work,            Dane-zaa (Beaver),,0,
Language used most often at work,"            Dene, n.o.s.",,0,
Language used most often at work,            Gwich'in,,0,
Language used most often at work,            Slavey-Hare languages,,0,
Language used most often at work,              Deh Gah Ghotie Zhatie (South Slavey),,0,
Language used most often at work,              Satuotine Yati (North Slavey),,0,
Language used most often at work,"              Slavey, n.o.s.",,0,
Language used most often at work,            Tahltan languages,,0,
Language used most often at work,            Tlicho (Dogrib),,0,
Language used most often at work,            Tse'khene (Sekani),,0,
Language used most often at work,            Tsilhqot'in (Chilcotin),,0,
Language used most often at work,            Tsuu T'ina (Sarsi),,0,
Language used most often at work,            Tutchone languages,,0,
Language used most often at work,              Northern Tutchone,,0,
Language used most often at work,              Southern Tutchone,,0,
Language used most often at work,"              Tutchone, n.o.s.",,0,
Language used most often at work,            Wetsuwet'en-Babine,,0,
Language used most often at work,          Tlingit,,0,
Language used most often at work,"          Athabaskan languages, n.i.e.",,0,
Language used most often at work,        Haida,,0,
Language used most often at work,        Inuktut (Inuit) languages,,0,
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0,
Language used most often at work,            Inuinnaqtun,,0,
Language used most often at work,            Inuvialuktun,,0,
Language used most often at work,          Inuktitut,,0,
Language used most often at work,"          Inuktut (Inuit) languages, n.i.e.",,0,
Language used most often at work,        Iroquoian languages,,0,
Language used most often at work,          Mohawk,,0,
Language used most often at work,          Oneida,,0,
Language used most often at work,"          Iroquoian languages, n.i.e.",,0,
Language used most often at work,        Ktunaxa (Kutenai),,0,
Language used most often at work,        Michif,,0,
Language used most often at work,        Salish languages,,0,
Language used most often at work,          Halkomelem,,0,
Language used most often at work,          Lillooet,,0,
Language used most often at work,          Ntlakapamux (Thompson),,0,
Language used most often at work,          Secwepemctsin (Shuswap),,0,
Language used most often at work,          Squamish,,0,
Language used most often at work,          Straits,,0,
Language used most often at work,          Syilx (Okanagan),,0,
Language used most often at work,"          Salish languages, n.i.e.",,0,
Language used most often at work,        Siouan languages,,0,
Language used most often at work,          Assiniboine,,0,
Language used most often at work,          Dakota,,0,
Language used most often at work,          Stoney,,0,
Language used most often at work,"          Siouan languages, n.i.e.",,0,
Language used most often at work,        Tsimshian languages,,0,
Language used most often at work,          Gitxsan (Gitksan),,0,
Language used most often at work,          Nisga'a,,0,
Language used most often at work,          Tsimshian,,0,
Language used most often at work,        Wakashan languages,,0,
Language used most often at work,          Haisla,,0,
Language used most often at work,          Heiltsuk,,0,
Language used most often at work,          Kwak'wala (Kwakiutl),,0,
Language used most often at work,          Nuu-chah-nulth (Nootka),,0,
Language used most often at work,"          Wakashan languages, n.i.e.",,0,
Language used most often at work,"        Indigenous languages, n.i.e.",,0,
Language used most often at work,"        Indigenous languages, n.o.s.",,0,
Language used most often at work,      Non-Indigenous languages,,8750,
Language used most often at work,        Afro-Asiatic languages,,775,
Language used most often at work,          Berber languages,,0,
Language used most often at work,            Kabyle,,0,
Language used most often at work,            Tamazight,,0,
Language used most often at work,"            Berber languages, n.i.e.",,0,
Language used most often at work,          Chadic languages,,0,
Language used most often at work,          Coptic,,0,
Language used most often at work,          Cushitic languages,,10,
Language used most often at work,            Bilen,,0,
Language used most often at work,            Oromo,,0,
Language used most often at work,            Somali,,10,
Language used most often at work,"            Cushitic languages, n.i.e.",,0,
Language used most often at work,          Semitic languages,,760,
Language used most often at work,            Amharic,,0,
Language used most often at work,            Arabic,,730,
Language used most often at work,            Aramaic languages,,20,
Language used most often at work,              Assyrian Neo-Aramaic,,15,
Language used most often at work,              Chaldean Neo-Aramaic,,0,
Language used most often at work,"              Aramaic, n.o.s.",,0,
Language used most often at work,            Hebrew,,0,
Language used most often at work,            Tigrigna,,0,
Language used most often at work,"            Semitic languages, n.i.e.",,0,
Language used most often at work,        Austro-Asiatic languages,,555,
Language used most often at work,          Khmer (Cambodian),,0,
Language used most often at work,          Vietnamese,,555,
Language used most often at work,"          Austro-Asiatic languages, n.i.e.",,0,
Language used most often at work,        Austronesian languages,,150,
Language used most often at work,          Bikol,,0,
Language used most often at work,"          Bisaya, n.o.s.",,0,
Language used most often at work,          Cebuano,,0,
Language used most often at work,          Hiligaynon,,0,
Language used most often at work,          Ilocano,,0,
Language used most often at work,          Indonesian,,0,
Language used most often at work,          Kankanaey,,0,
Language used most often at work,          Malagasy languages,,0,
Language used most often at work,          Malay,,0,
Language used most often at work,"          Pampangan (Kapampangan, Pampango)",,0,
Language used most often at work,          Pangasinan,,0,
Language used most often at work,"          Tagalog (Pilipino, Filipino)",,140,
Language used most often at work,"          Austronesian languages, n.i.e.",,0,
Language used most often at work,        Creole languages,,0,
Language used most often at work,          Haitian Creole,,0,
Language used most often at work,          Jamaican English Creole,,0,
Language used most often at work,          Morisyen,,0,
Language used most often at work,"          Creole, n.o.s.",,0,
Language used most often at work,"          Creole languages, n.i.e.",,0,
Language used most often at work,        Dravidian languages,,165,
Language used most often at work,          Kannada,,0,
Language used most often at work,          Malayalam,,15,
Language used most often at work,          Tamil,,130,
Language used most often at work,          Telugu,,20,
Language used most often at work,"          Dravidian languages, n.i.e.",,0,
Language used most often at work,        Georgian,,25,
Language used most often at work,        Indo-European languages,,3850,
Language used most often at work,          Albanian,,45,
Language used most often at work,          Armenian,,0,
Language used most often at work,          Balto-Slavic languages,,1270,
Language used most often at work,            Baltic languages,,0,
Language used most often at work,              Latvian,,0,
Language used most often at work,              Lithuanian,,0,
Language used most often at work,            Slavic languages,,1265,
Language used most often at work,              Bulgarian,,15,
Language used most often at work,              Czech,,0,
Language used most often at work,              Macedonian,,10,
Language used most often at work,              Polish,,690,
Language used most often at work,              Russian,,165,
Language used most often at work,              Serbo-Croatian,,100,
Language used most often at work,                Bosnian,,25,
Language used most often at work,                Croatian,,25,
Language used most often at work,                Serbian,,45,
Language used most often at work,"                Serbo-Croatian, n.i.e.",,0,
Language used most often at work,              Slovak,,0,
Language used most often at work,              Slovene (Slovenian),,0,
Language used most often at work,              Ukrainian,,280,
Language used most often at work,"              Slavic languages, n.i.e.",,0,
Language used most often at work,          Celtic languages,,0,
Language used most often at work,            Scottish Gaelic,,0,
Language used most often at work,"            Celtic languages, n.i.e.",,0,
Language used most often at work,          Germanic languages,,30,
Language used most often at work,            Frisian,,0,
Language used most often at work,            High German languages,,30,
Language used most often at work,              German,,30,
Language used most often at work,              Pennsylvania German,,0,
Language used most often at work,              Swiss German,,0,
Language used most often at work,              Yiddish,,0,
Language used most often at work,            Low Saxon-Low Franconian languages,,0,
Language used most often at work,              Afrikaans,,0,
Language used most often at work,              Dutch,,0,
Language used most often at work,"              Low German, n.o.s.",,0,
Language used most often at work,              Low Saxon,,0,
Language used most often at work,              Plautdietsch,,0,
Language used most often at work,              Vlaams (Flemish),,0,
Language used most often at work,            Scandinavian languages,,0,
Language used most often at work,              Danish,,0,
Language used most often at work,              Icelandic,,0,
Language used most often at work,              Norwegian,,0,
Language used most often at work,              Swedish,,0,
Language used most often at work,"            Germanic languages, n.i.e.",,0,
Language used most often at work,          Greek,,10,
Language used most often at work,          Indo-Iranian languages,,1600,
Language used most often at work,            Indo-Aryan languages,,1550,
Language used most often at work,              Bengali,,20,
Language used most often at work,              Gujarati,,50,
Language used most often at work,              Hindi,,155,
Language used most often at work,              Kacchi,,0,
Language used most often at work,              Marathi,,0,
Language used most often at work,              Nepali,,20,
Language used most often at work,              Punjabi (Panjabi),,790,
Language used most often at work,              Sindhi,,0,
Language used most often at work,              Sinhala (Sinhalese),,0,
Language used most often at work,              Urdu,,510,
Language used most often at work,"              Indo-Aryan languages, n.i.e.",,0,
Language used most often at work,            Iranian languages,,50,
Language used most often at work,              Kurdish,,0,
Language used most often at work,              Pashto,,0,
Language used most often at work,              Persian languages,,45,
Language used most often at work,                Dari,,25,
Language used most often at work,                Iranian Persian,,15,
Language used most often at work,"                Persian (Farsi), n.o.s.",,10,
Language used most often at work,"              Iranian languages, n.i.e.",,0,
Language used most often at work,"            Indo-Iranian languages, n.i.e.",,0,
Language used most often at work,          Italic (Romance) languages,,890,
Language used most often at work,            Catalan,,0,
Language used most often at work,            Italian,,30,
Language used most often at work,            Portuguese,,335,
Language used most often at work,            Romanian,,35,
Language used most often at work,            Spanish,,480,
Language used most often at work,"            Italic (Romance) languages, n.i.e.",,0,
Language used most often at work,"          Indo-European languages, n.i.e.",,0,
Language used most often at work,        Japanese,,35,
Language used most often at work,        Korean,,280,
Language used most often at work,        Mongolian,,0,
Language used most often at work,        Niger-Congo languages,,0,
Language used most often at work,          Akan (Twi),,0,
Language used most often at work,          Edo,,0,
Language used most often at work,"          Fulah (Pular, Pulaar, Fulfulde)",,0,
Language used most often at work,          Ga,,0,
Language used most often at work,          Ganda,,0,
Language used most often at work,          Igbo,,0,
Language used most often at work,          Kinyarwanda (Rwanda),,0,
Language used most often at work,          Lingala,,0,
Language used most often at work,          Rundi (Kirundi),,0,
Language used most often at work,          Shona,,0,
Language used most often at work,          Swahili,,0,
Language used most often at work,          Wolof,,0,
Language used most often at work,          Yoruba,,0,
Language used most often at work,"          Niger-Congo languages, n.i.e.",,0,
Language used most often at work,        Nilo-Saharan languages,,0,
Language used most often at work,          Dinka,,0,
Language used most often at work,"          Nilo-Saharan languages, n.i.e.",,0,
Language used most often at work,        Sign languages,,45,
Language used most often at work,          American Sign Language,,45,
Language used most often at work,          Quebec Sign Language,,0,
Language used most often at work,"          Sign languages, n.i.e.",,0,
Language used most often at work,        Sino-Tibetan languages,,2810,
Language used most often at work,          Chinese languages,,2810,
Language used most often at work,            Hakka,,0,
Language used most often at work,            Mandarin,,2085,
Language used most often at work,            Min Dong,,0,
Language used most often at work,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,0,
Language used most often at work,            Wu (Shanghainese),,0,
Language used most often at work,            Yue (Cantonese),,705,
Language used most often at work,"            Chinese, n.o.s.",,20,
Language used most often at work,"            Chinese languages, n.i.e.",,0,
Language used most often at work,          Tibeto-Burman languages,,0,
Language used most often at work,            Burmese,,0,
Language used most often at work,            Karenic languages,,0,
Language used most often at work,              S'gaw Karen,,0,
Language used most often at work,"              Karenic languages, n.i.e.",,0,
Language used most often at work,            Tibetan,,0,
Language used most often at work,"            Tibeto-Burman languages, n.i.e.",,0,
Language used most often at work,"          Sino-Tibetan languages, n.i.e.",,0,
Language used most often at work,        Tai-Kadai languages,,0,
Language used most often at work,          Lao,,0,
Language used most often at work,          Thai,,0,
Language used most often at work,"          Tai-Kadai languages, n.i.e.",,0,
Language used most often at work,        Turkic languages,,50,
Language used most often at work,          Azerbaijani,,0,
Language used most often at work,          Turkish,,50,
Language used most often at work,          Uyghur,,0,
Language used most often at work,          Uzbek,,0,
Language used most often at work,"          Turkic languages, n.i.e.",,0,
Language used most often at work,        Uralic languages,,0,
Language used most often at work,          Estonian,,0,
Language used most often at work,          Finnish,,0,
Language used most often at work,          Hungarian,,0,
Language used most often at work,"        Other languages, n.i.e.",,0,
Language used most often at work,  Multiple responses,,5635,
Language used most often at work,    English and French,,1205,
Language used most often at work,    English and non-official language(s),,4275,
Language used most often at work,    French and non-official language(s),,0,
Language used most often at work,"    English, French and non-official language(s)",,75,
Language used most often at work,    Multiple non-official languages,,80,
